#DS_DDI,drug_name,GPI,KDC,route,dosage_form,ddi_strength,strength_units,lastchange
8,"12 Hour Nasal Spray",42102040102010,2741601,NA,SOLN,"0.05","%",20140101
41,"8-Mop",90250560000110,270701,OR,CAPS,"10","MG",20140101
52,"A-200",90909903206400,1197101,CO,KIT ,"0.5-0.33-4","%",20140101
54,"A-4 High Compression Mens Hose",97350000000000,0,XX,MISC,,,20140101
58,"A-Hydrocort",22100025402110,64807,IJ,SOLR,"100","MG",20140402
63,"A-Methapred",22100030202110,1243101,IJ,SOLR,"125","MG",20140101
64,"A-Methapred",22100030202105,1243101,IJ,SOLR,"40","MG",20140101
77,"A.E.R. Witch Hazel",90971040004300,423001,EX,PADS,,,20140101
87,"A/G Pro",81200000000300,570401,OR,TABS,,,20140101
135,"AK-Poly-Bac",86109902104200,428201,OP,OINT,"500-10000","UNIT/GM",20140101
165,"APAP Extra Strength",64200010000315,501,OR,TABS,"500","MG",20140101
183,"AVC Vaginal",55100070003705,3510901,VA,CREA,"15","%",20150107
198,"Absorbine Jr",90800000000900,1053501,EX,LIQD,,,20140101
200,"Acacia",98351005002900,301,XX,POWD,,,20140101
232,"Accupril",36100040100310,834601,OR,TABS,"10","MG",20140101
233,"Accupril",36100040100320,834601,OR,TABS,"20","MG",20140101
234,"Accupril",36100040100340,834601,OR,TABS,"40","MG",20140101
235,"Accupril",36100040100305,834601,OR,TABS,"5","MG",20140101
268,"Acephen",64200010005205,501,RE,SUPP,"120","MG",20140101
269,"Acephen",64200010005215,501,RE,SUPP,"325","MG",20140101
270,"Acephen",64200010005220,501,RE,SUPP,"650","MG",20140101
276,"Acetaminophen",64200010000115,501,OR,CAPS,"500","MG",20140101
277,"Acetaminophen",64200010000505,501,OR,CHEW,"80","MG",20140101
282,"Acetaminophen",64200010002010,501,OR,SOLN,"160","MG/5ML",20140101
283,"Acetaminophen",64200010000310,501,OR,TABS,"325","MG",20160406
284,"Acetaminophen",64200010000315,501,OR,TABS,"500","MG",20160406
